part_number,price,days_to_ship,minimum_order_qty,inner_dia_d,outer_dia_d,width_b,basic_load_rating_cr,basic_load_rating_cor,weight,page_url
6902ZZ,"28,769 VND",same day,,28,7,26,,,,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6308ZZ,"28,769 VND",same day,,90,23,5000,,,53,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6010ZZ,"28,769 VND",same day,,80,16,55,,,75,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6901ZZ,"28,769 VND",same day,,24,6,15,,,11,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6804ZZ,"28,769 VND",same day,,32,7,15000,,,22.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6704ZZ,"28,769 VND",same day,,20,27,510,,,20.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6301ZZ,"28,769 VND",same day,,37,12,14000,,,18,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6800ZZ,"28,769 VND",same day,,19,5,24000,,,12.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6005ZZ,"28,769 VND",same day,,47,12,29,,,43,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6801ZZ,"28,769 VND",same day,,21,5,22000,,,14.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6002ZZ,"28,769 VND",same day,,32,9,19,,,30,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
